Class/Folder Name,[Dep_In, Dep_Out, NOC, NumAnc, NumAssEl_nsb, NumAssEl_ssc, NumDesc, abstractness, avrgFieldVisibility, avrgMethodVisibility, eC_Attr, eC_Par, getters, iC_Attr, iC_Par, iFImpl, nesting, numCls, numConstants, numFields, numInterf, numOps, numOpsCls, packagenesting, setters, staticness]
CH.ifa.draw.standard.AlignCommand$2,1,1,0,1,,,0,,,2,0,0,0,0,1,0,0,,0,0,,2,,,0,0
CH.ifa.draw.standard.AlignCommand$3,1,1,0,1,,,0,,,2,0,0,0,0,1,0,0,,0,0,,2,,,0,0
CH.ifa.draw.standard.AlignCommand$4,1,1,0,1,,,0,,,2,0,0,0,0,1,0,0,,0,0,,2,,,0,0
CH.ifa.draw.standard.AlignCommand$5,1,1,0,1,,,0,,,2,0,0,0,0,1,0,0,,0,0,,2,,,0,0
CH.ifa.draw.standard.AlignCommand$6,1,1,0,1,,,0,,,2,0,0,0,0,1,0,0,,0,0,,2,,,0,0
CH.ifa.draw.standard.AlignCommand$7,1,1,0,1,,,0,,,2,0,0,0,0,1,0,0,,0,0,,2,,,0,0
CH.ifa.draw.standard.AlignCommand$Alignment,13,2,6,0,,,6,,2.571428571,1.571428571,8,5,1,1,1,0,1,,6,7,,7,,,1,0.142857143
CH.ifa.draw.standard.AlignCommand$UndoActivity,1,9,0,1,,,0,,0,2.777777778,0,0,2,2,7,0,1,,0,2,,9,,,2,0
CH.ifa.draw.standard.BoxHandleKit,0,10,0,0,,,0,,,3,0,0,0,0,10,0,0,,0,0,,11,,,0,0.909090909
CH.ifa.draw.standard.BringToFrontCommand,1,1,0,1,,,0,,,2.75,0,0,0,0,1,0,0,,0,0,,4,,,0,0
CH.ifa.draw.standard.BringToFrontCommand$UndoActivity,1,2,0,2,,,0,,,2.5,0,0,0,0,2,0,1,,0,0,,2,,,0,0
CH.ifa.draw.standard.BufferedUpdateStrategy,2,6,0,0,,,0,,0,3,0,0,0,5,1,1,0,,1,5,,2,,,0,0
CH.ifa.draw.standard.ChangeAttributeCommand,8,3,0,1,,,0,,0,2.75,0,0,0,2,1,0,0,,0,2,,4,,,0,0
CH.ifa.draw.standard.ChangeAttributeCommand$UndoActivity,1,7,0,1,,,0,,0,2.636363636,0,0,3,3,4,0,1,,0,3,,11,,,3,0
CH.ifa.draw.standard.ChangeConnectionEndHandle,2,3,0,2,,,0,,,2.285714286,0,0,0,0,3,0,0,,0,0,,7,,,1,0
CH.ifa.draw.standard.ChangeConnectionEndHandle$UndoActivity,1,2,0,2,,,0,,,2.5,0,0,0,0,2,0,1,,0,0,,2,,,0,0
CH.ifa.draw.standard.ChangeConnectionHandle,0,15,2,1,,,2,,0,2,0,0,2,4,11,0,0,,0,4,,18,,,3,0
CH.ifa.draw.standard.ChangeConnectionHandle$UndoActivity,0,4,2,1,,,2,,0,2.428571429,0,0,1,1,3,0,1,,0,1,,7,,,1,0
CH.ifa.draw.standard.ChangeConnectionStartHandle,2,3,0,2,,,0,,,2.285714286,0,0,0,0,3,0,0,,0,0,,7,,,1,0
CH.ifa.draw.standard.ChangeConnectionStartHandle$UndoActivity,1,2,0,2,,,0,,,2.5,0,0,0,0,2,0,1,,0,0,,2,,,0,0
CH.ifa.draw.standard.ChopBoxConnector,1,5,4,1,,,4,,0,2.8,0,0,0,1,4,0,0,,1,1,,5,,,0,0
CH.ifa.draw.standard.CompositeFigure,0,32,4,1,,,5,,1,2.574468085,0,0,2,6,26,1,0,,1,6,,47,,,0,0
CH.ifa.draw.standard.ConnectionHandle,2,13,0,2,,,0,,0,2.083333333,0,0,1,3,10,0,0,,0,3,,12,,,1,0
CH.ifa.draw.standard.ConnectionTool,7,23,0,1,,,0,,0,1.62962963,0,0,6,9,14,0,0,,0,9,,27,,,6,0
CH.ifa.draw.standard.ConnectionTool$UndoActivity,1,6,0,1,,,0,,0,2.2,0,0,1,3,3,0,1,,0,3,,5,,,1,0
CH.ifa.draw.standard.CopyCommand,1,1,0,2,,,0,,,2.666666667,0,0,0,0,1,0,0,,0,0,,3,,,0,0
CH.ifa.draw.standard.CreationTool,7,9,2,1,,,3,,0,2.076923077,0,0,3,4,5,0,0,,0,4,,13,,,2,0
CH.ifa.draw.standard.CutCommand,1,1,0,2,,,0,,,2.75,0,0,0,0,1,0,0,,0,0,,4,,,0,0
CH.ifa.draw.standard.CutCommand$UndoActivity,1,2,0,1,,,0,,0,3,0,0,0,1,1,0,1,,0,1,,3,,,0,0
CH.ifa.draw.standard.DecoratorFigure,0,14,2,1,,,2,,0,2.848484848,0,0,2,3,11,1,0,,1,3,,33,,,1,0
CH.ifa.draw.standard.DeleteCommand,3,1,0,2,,,0,,,2.5,0,0,0,0,1,0,0,,0,0,,4,,,0,0
CH.ifa.draw.standard.DeleteCommand$UndoActivity,1,2,0,1,,,0,,0,3,0,0,0,1,1,0,1,,0,1,,3,,,0,0
